,,,,,0,1,2
Extensive,89,10,5,10,7.699999999999999,7.566666666666667,0.014000177383422852
Peleg,89,10,5,10,7.699999999999989,0.0,0.00205230712890625
Carr,89,10,5,10,7.599999999999989,0.0,0.26496124267578125
Extensive,90,10,5,20,7.4736222222222235,7.4736222222222235,0.021999835968017578
Peleg,90,10,5,20,16.57677777777777,0.0,0.006209135055541992
Carr,90,10,5,20,7.473622222222206,0.0,1.988990068435669
Extensive,91,10,5,40,7.1638333333333355,7.163833333333334,0.021000146865844727
Peleg,91,10,5,40,11.771933333333326,0.0,0.012528181076049805
Carr,91,10,5,40,7.163833333333363,0.0,17.448999404907227
Extensive,92,10,5,5,6.4,6.4,0.006999969482421875
Peleg,92,10,5,5,7.0000000000000036,0.0,0.0010251998901367188
Carr,92,10,5,5,6.400000000000003,0.0,0.03137564659118652
Extensive,93,10,5,10,7.699999999999999,7.699999999999999,0.009999990463256836
Peleg,93,10,5,10,11.642399999999986,0.0,0.0021927356719970703
Carr,93,10,5,10,7.699999999999989,0.0,0.2784557342529297
Extensive,94,10,5,20,8.020866666666668,7.65,0.023000001907348633
Peleg,94,10,5,20,8.486222222222217,0.0,0.005208253860473633
Carr,94,10,5,20,8.02086666666665,0.0,1.73223876953125
Extensive,95,10,5,40,7.500000000000004,7.500000000000002,0.021999835968017578
Peleg,95,10,5,40,22.18556666666668,0.0,0.030604124069213867
Carr,95,10,5,40,7.500000000000039,0.0,45.039331674575806
Extensive,96,10,5,5,6.0,6.0,0.01900005340576172
Peleg,96,10,5,5,6.793600000000001,0.0,0.0010292530059814453
Carr,96,10,5,5,6.000000000000003,0.0,0.030714988708496094
Extensive,97,10,5,10,7.3,7.0,0.015000104904174805
Peleg,97,10,5,10,7.39999999999999,0.0,0.0020399093627929688
Carr,97,10,5,10,7.999999999999988,0.0,0.2168886661529541
Extensive,98,10,5,20,7.423622222222224,7.423622222222223,0.02200007438659668
Peleg,98,10,5,20,18.94488888888888,0.0,0.006318807601928711
Carr,98,10,5,20,7.423622222222206,0.0,2.5078623294830322
Extensive,99,10,5,40,7.525000000000004,7.201383333333334,0.018000125885009766
Peleg,99,10,5,40,21.506416666666677,0.0,0.030431747436523438
Carr,99,10,5,40,7.525000000000039,0.0,34.62187314033508
Extensive,100,10,5,5,7.3999999999999995,7.3999999999999995,0.009999990463256836
Peleg,100,10,5,5,13.57439999999999,0.0,0.0010881423950195312
Carr,100,10,5,5,7.400000000000004,0.0,0.03337883949279785
Extensive,101,10,5,10,6.9,6.9,0.015999794006347656
Peleg,101,10,5,10,24.94080000000001,0.0,0.0030655860900878906
Carr,101,10,5,10,6.8999999999999915,0.0,0.2691643238067627
Extensive,102,10,5,20,8.100000000000001,7.700000000000001,0.01900005340576172
Peleg,102,10,5,20,17.524022222222214,0.0,0.006300926208496094
Carr,102,10,5,20,8.04999999999998,0.0,2.2444005012512207
Extensive,103,10,5,40,8.025000000000002,7.752766666666663,0.023999929428100586
Peleg,103,10,5,40,16.299599999999984,0.0,0.020931482315063477
Carr,103,10,5,40,8.025000000000047,0.0,39.70674133300781
Extensive,104,10,5,5,6.2,6.2,0.015000104904174805
Peleg,104,10,5,5,35.884800000000006,0.0,0.0010271072387695312
Carr,104,10,5,5,6.200000000000003,0.0,0.07525324821472168
Extensive,105,10,5,10,7.047466666666667,7.047466666666667,0.020999908447265625
Peleg,105,10,5,10,7.047466666666662,0.0,0.001079559326171875
Carr,105,10,5,10,7.0474666666666606,0.0,0.1878812313079834
Extensive,106,10,5,20,8.050000000000002,7.723622222222225,0.019999980926513672
Peleg,106,10,5,20,14.682288888888884,0.0,0.006165981292724609
Carr,106,10,5,20,8.04999999999998,0.0,1.465008020401001
Extensive,107,10,5,40,7.75691666666667,7.393083333333334,0.023999929428100586
Peleg,107,10,5,40,18.11066666666666,0.0,0.02078533172607422
Carr,107,10,5,40,7.677766666666706,0.0,29.23970055580139
Extensive,108,10,5,5,7.8,7.8,0.015000104904174805
Peleg,108,10,5,5,8.7872,0.0,0.0010173320770263672
Carr,108,10,5,5,7.800000000000004,0.0,0.07857155799865723
Extensive,109,10,5,10,7.699999999999999,7.4,0.016000032424926758
Peleg,109,10,5,10,15.38479999999999,0.0,0.0021436214447021484
Carr,109,10,5,10,7.699999999999989,0.0,0.283113956451416
Extensive,110,10,5,20,8.047244444444447,7.65,0.02200007438659668
Peleg,110,10,5,20,13.261422222222219,0.0,0.0041348934173583984
Carr,110,10,5,20,8.047244444444429,0.0,1.1975319385528564
Extensive,111,10,5,40,7.2500000000000036,6.974999999999997,0.015000104904174805
Peleg,111,10,5,40,24.449400000000026,0.0,0.03603625297546387
Carr,111,10,5,40,7.225000000000035,0.0,66.88486313819885
Extensive,112,10,5,5,8.0,7.800000000000001,0.015000104904174805
Peleg,112,10,5,5,13.767999999999995,0.0,0.0
Carr,112,10,5,5,7.800000000000004,0.0,0.03475689888000488
Extensive,113,10,5,10,6.423733333333333,6.3,0.018000125885009766
Peleg,113,10,5,10,6.423733333333327,0.0,0.002028942108154297
Carr,113,10,5,10,6.423733333333327,0.0,0.27049827575683594
Extensive,114,10,5,20,7.823622222222224,7.665355555555555,0.023000001907348633
Peleg,114,10,5,20,15.629533333333328,0.0,0.005192279815673828
Carr,114,10,5,20,7.823622222222203,0.0,2.100327968597412
Extensive,115,10,5,40,8.001383333333337,7.898616666666669,0.025999784469604492
Peleg,115,10,5,40,15.846833333333315,0.0,0.018684864044189453
Carr,115,10,5,40,8.001383333333381,0.0,28.868353605270386
Extensive,116,10,5,5,5.800000000000001,5.800000000000001,0.017999887466430664
Peleg,116,10,5,5,7.980800000000001,0.0,0.0
Carr,116,10,5,5,5.8000000000000025,0.0,0.028120756149291992
Extensive,117,10,5,10,6.1,5.9,0.021999835968017578
Peleg,117,10,5,10,12.008533333333332,0.0,0.0020585060119628906
Carr,117,10,5,10,6.099999999999994,0.0,0.11913895606994629
Extensive,118,10,5,20,6.720866666666668,6.720866666666668,0.018000125885009766
Peleg,118,10,5,20,10.89331111111111,0.0,0.005217313766479492
Carr,118,10,5,20,6.720866666666653,0.0,0.8604044914245605
Extensive,119,10,5,40,8.025000000000004,7.849999999999999,0.011999845504760742
Peleg,119,10,5,40,17.431516666666656,0.0,0.020916461944580078
Carr,119,10,5,40,8.075000000000047,0.0,35.95626711845398
Extensive,120,10,10,5,6.2,6.2,0.026999950408935547
Peleg,120,10,10,5,7.981333333333336,0.0,0.0011181831359863281
Carr,120,10,10,5,7.6906666666666705,0.0,0.08190202713012695
Extensive,121,10,10,10,6.6,6.3,0.03900003433227539
Peleg,121,10,10,10,6.817333333333329,0.0,0.004157304763793945
Carr,121,10,10,10,7.799999999999988,0.0,0.4158494472503662
Extensive,122,10,10,20,6.453200000000002,6.249999999999995,0.04500007629394531
Peleg,122,10,10,20,9.728800000000001,0.0,0.008422374725341797
Carr,122,10,10,20,6.4531999999999865,0.0,2.9879307746887207
Extensive,123,10,10,40,7.53971666666667,7.33971666666669,0.07500004768371582
Peleg,123,10,10,40,7.750000000000043,0.0,0.03969764709472656
Carr,123,10,10,40,8.733866666666719,0.0,72.99544882774353
Extensive,124,10,10,5,4.0,4.0,0.023000001907348633
Peleg,124,10,10,5,7.200000000000004,0.0,0.0021240711212158203
Carr,124,10,10,5,4.000000000000001,0.0,0.06457781791687012
Extensive,125,10,10,10,7.0,6.7,0.031999826431274414
Peleg,125,10,10,10,7.29999999999999,0.0,0.003136873245239258
Carr,125,10,10,10,9.417333333333316,0.0,0.22342538833618164
Extensive,126,10,10,20,6.506400000000001,6.506399999999999,0.032000064849853516
Peleg,126,10,10,20,6.799999999999984,0.0,0.006157636642456055
Carr,126,10,10,20,6.506399999999987,0.0,2.580814838409424
Extensive,127,10,10,40,7.567733333333335,7.224999999999999,0.04400014877319336
Peleg,127,10,10,40,8.27500000000005,0.0,0.020801544189453125
Carr,127,10,10,40,7.567733333333368,0.0,37.07358145713806
Extensive,128,10,10,5,1.4000000000000001,1.4000000000000001,0.01699995994567871
Peleg,128,10,10,5,1.4,0.0,0.001001596450805664
Carr,128,10,10,5,2.8906666666666676,0.0,0.025000810623168945
Extensive,129,10,10,10,6.699999999999999,6.5,0.0280001163482666
Peleg,129,10,10,10,8.099999999999987,0.0,0.002998828887939453
Carr,129,10,10,10,6.699999999999992,0.0,0.3075423240661621
Extensive,130,10,10,20,7.053200000000001,6.85639999999999,0.03299999237060547
Peleg,130,10,10,20,7.953199999999981,0.0,0.00751185417175293
Carr,130,10,10,20,8.953199999999995,0.0,2.5947041511535645
Extensive,131,10,10,40,7.3485833333333375,7.058866666666692,0.08100008964538574
Peleg,131,10,10,40,8.479433333333384,0.0,0.026000261306762695
Carr,131,10,10,40,11.481033333333407,0.0,39.328871965408325
Extensive,132,10,10,5,4.890666666666667,4.800000000000001,0.023000001907348633
Peleg,132,10,10,5,4.890666666666669,0.0,0.001512765884399414
Carr,132,10,10,5,4.890666666666667,0.0,0.04599928855895996
